,t_dl,t_comp,t_ul,iters_p1,iters_p2,dropout_frac
27,2.9305555555556566,144.64696336792872,52.75,75,100,0.7
72,3.1649999999999636,139.893138338477,56.97000000000003,25,99,0.7
80,2.1099999999999,142.2676663316695,56.97000000000003,175,39,0.7
97,1.4066666666667516,174.40157562647255,25.319999999999936,200,24,0.7
111,0.4872979214781026,192.8491957306835,8.771362586605164,325,12,0.7
141,2.3921897963468837,186.76284119606817,13.157043879907633,250,12,0.7
151,26.314087759815266,3.547181539635403,265.0455780951422,0,1,0.7
152,2.3921897963468837,181.8106895777537,15.797120625899424,100,50,0.4597035362547828
270,1.4066666666667516,170.63480595263536,26.1099999999999,425,43,0.7
282,4.220000000000027,119.97759793545288,75.96000000000004,0,81,0.7
305,3.296875,140.8073797084553,59.34375,0,38,0.7
315,6.59375,76.80144920473163,118.6875,0,27,0.7
359,2.9305555555556566,145.46940324460502,52.75,75,91,0.7
380,3.560884333596732,138.09802037751842,70.84301923730186,0,38,0.7
384,6.59375,77.10846449154815,79.31578916411286,0,19,0.7
424,3.296875,137.69458663066212,59.34375,0,49,0.7
436,10.736111111111086,5.024106747810038,250.0454545454545,0,2,0.7
473,0.548210161662837,189.49973258387035,13.157043879907633,200,14,0.7
514,0.7309468822170402,166.72844049205514,27.122376732388602,225,29,0.7
556,0.7309468822170402,167.32177995268216,31.947273165100796,925,47,0.635777533425786
604,0.548210161662837,187.29659260869448,12.155197229642681,700,21,0.584265371213643
642,0.548210161662837,177.40935438984525,22.042435448491915,800,24,0.4973999710796735
676,2.9305555555556566,144.39589148917912,52.75,175,232,0.7
695,14.38636363636374,4.795235940153816,290.590909090909,0,1,0.7
702,1.5824999999999818,76.47284925832037,124.29818181818177,50,11,0.7
710,1.4066666666667516,161.32473812710168,37.98000000000002,125,42,0.7
731,1.4066666666667516,163.1089683525022,33.98307066001348,100,23,0.7
926,0.7309468822170402,186.2772577181131,13.157043879907633,275,16,0.7
954,0.4872979214781026,191.07349500752503,8.771362586605164,500,17,0.7
970,2.3921897963468837,184.5031588659608,15.430816651410396,850,36,0.7
995,0.4872979214781026,192.50016083815603,8.771362586605164,400,11,0.7
1005,26.314087759815266,2.1695399301638645,332.74769138271927,0,1,0.7
1008,0.4872979214781026,157.71882203536006,43.059416334243224,425,3,0.7
1013,26.314087759815266,2.4819092724335405,131.18121482181755,0,1,0.7
1101,0.548210161662837,190.97340080303138,8.771362586605164,475,16,0.7
1102,0.4872979214781026,191.3118560990938,8.771362586605164,525,14,0.7
1242,1.4618937644340804,155.6925864622765,43.059416334243224,175,73,0.7
1373,6.905454545454631,72.18521949853766,120.73601035074262,0,12,0.7
1385,37.98000000000002,2.7590819440022187,92.75528463394016,0,1,0.7
1521,2.3921897963468837,180.96745499935514,16.640355204297975,100,58,0.4941004877331211
1581,0.4872979214781026,151.75246612313276,39.67932612166055,350,30,0.4554980998240259
1593,0.7309468822170402,186.22020033342233,13.157043879907633,5100,203,0.7
1607,2.3921897963468837,154.6115108444494,43.059416334243224,1725,646,0.7
1617,2.3921897963468837,154.62818131611766,38.910152134591726,1500,568,0.7
1630,17.30022303627584,59.221643396557056,124.29818181818177,25,19,0.7
1662,2.3921897963468837,155.66463891079752,43.059416334243224,225,44,0.7
1730,4.3958333333332575,116.63403202425343,165.0379568435037,0,374,0.7
1739,0.548210161662837,171.1676023644186,43.059416334243,450,28,0.7
